ID	企業名	代表者	電話番号	所在地	URL	エリア	備考
1	ヤマサハウス株式会社	森 勇清	099-295-3911	鹿児島市錦江町1-4	https://yamasahouse.co.jp/	鹿児島市	創業1948年 資本金9,800万円 社員193名
2	株式会社センチュリーハウス	加治木 百年	099-813-0001	鹿児島市鴨池2丁目24-1	https://century-house.co.jp/	鹿児島市	設立平成9年8月 資本金1,000万円 姶良店・鹿屋店あり
3	株式会社七呂建設	七呂 恵介	099-201-3015	鹿児島市石谷町1260-8	https://www.shichiro.com/	鹿児島市	創業昭和35年 資本金8,700万円 社員181名 九州各地に展開
4	株式会社国分ハウジング	久保 範和	0995-45-8886	霧島市国分中央3丁目3-3	https://kh-house.jp/	霧島市	創業昭和63年 資本金3,000万円 グループ社員261名
5	株式会社トータルハウジング	渡邊 孝太郎	099-210-5120	鹿児島市西陵3-28-22	https://www.total-housing.net/	鹿児島市	創業1991年 資本金1,000万円
6	株式会社NEO（NEOデザインホーム）	赤﨑 広久	099-298-9300	鹿児島市東開町3-77	https://neo-dhome.com/	鹿児島市	設立2005年11月 資本金5,000万円 NEOホールディングスグループ
7	MBC開発株式会社（MBCハウス）	陶山 賢治	099-226-7777	鹿児島市樋之口町1-1 MBC開発ビル7F	https://www.mbchouse.jp/	鹿児島市	創業1969年 南日本放送グループ 社員232名
8	丸和建設株式会社	和田 康伸	099-269-7600	鹿児島市東開町13番7号	https://www.maruwa-net.co.jp/	鹿児島市	創業1980年10月 資本金3,000万円 社員61名
9	株式会社ベガハウス	大迫 学	099-295-0788	鹿児島市石谷町3624番地9	https://vegahouse.biz	鹿児島市	創業1986年5月 資本金2,500万円 社員22名
10	株式会社ベルハウジング	松田 英之	099-250-0694	鹿児島市宇宿1-25-8	https://bell-h.jp/	鹿児島市	創業昭和61年5月 霧島店あり
11	有限会社田建築工房	田底 克也	099-250-6347	鹿児島市紫原7-6-5	https://www.den-kenchiku.com/	鹿児島市	設立平成12年4月 資本金500万円
12	株式会社感動	渡邊 孝太郎	099-296-8881	鹿児島市西陵3丁目28-22 2F	https://can-do.biz/	鹿児島市	社員23名 姶良支店あり トータルハウジングと同代表
13	株式会社成建ホーム	澁谷 大	0996-20-5520	薩摩川内市隈之城町57-2	https://seiken-home.jp/	薩摩川内市	創業平成元年7月 資本金1,000万円
14	クラシックホーム（ヤマサハウス株式会社）	森 勇清	099-295-3910	鹿児島市錦江町1-4	https://kulasic-home.jp/	鹿児島市	ヤマサハウスが運営する規格住宅ブランド ショールーム:与次郎
15	なごみ工務店（株式会社国分ハウジング）	久保 範和	0995-45-8886	鹿児島市東開町3-64	https://www.nagomi-koumuten.jp/	鹿児島市	国分ハウジンググループ 自然素材の家づくり
16	PGハウス（株式会社国分ハウジング）	久保 範和	0995-45-8886	霧島市国分中央3丁目3-3	https://pg-house.jp/	霧島市	国分ハウジンググループ
17	チェックハウスプラス鹿児島（株式会社NEO）	赤﨑 広久	099-201-3355	鹿児島市吉野3-47-12	https://chplus-kagoshima-c.com/	鹿児島市	NEOデザインホーム事業本部が運営
18	デイジャストハウス（株式会社国分ハウジング）	久保 範和	0995-73-5602	霧島市国分中央3丁目36-14	https://day-just-house.com/	霧島市	国分ハウジンググループ 創業2004年 企画型注文住宅
19	アイフルホーム鹿児島（株式会社Life plus home）	不明	099-202-0340	霧島市国分姫城南9-30-1	https://lifeplushome.jp/	霧島市	アイフルホームFC加盟店 創業平成25年8月
20	株式会社Lib Work（リブワーク）	瀬口 力	0120-443-557	熊本県山鹿市鍋田178-1（本社）	https://www.libwork.co.jp/	熊本（鹿児島展開）	東証グロース上場 資本金10億円 鹿児島はIPライセンス加盟店展開
21	株式会社もみの木ハウス・かごしま	竹下 浩二	0995-62-1064	姶良市加治木町反土1442-8	https://momi-kagoshima.com/	姶良市	もみの木ハウス協会加盟
22	ニーエルホーム（株式会社国分ハウジング）	久保 範和	099-296-9222	鹿児島市与次郎1丁目9-38	https://2lhome.net/	鹿児島市	国分ハウジンググループ 2人暮らし専門の新築住宅
23	サイエンスホーム鹿児島（小山工建株式会社）	日当瀬 賢	099-223-1161	鹿児島市城山町15-3	https://www.hinata-ie.com/	鹿児島市	創業1978年7月 資本金2,200万円 綿半HDグループ
24	おばま工務店（株式会社住まいず）	有村 康弘	0995-64-2351	霧島市隼人町小浜28番地	https://obama-builders.com/	霧島市	設立1999年 資本金2,000万円 社員18名
25	株式会社中池組	中池 理恵	0996-22-3451	薩摩川内市花木町7-11	https://www.nakaikegumi.com/	薩摩川内市	総合建設業 社員40名 5代目社長
26	株式会社建築工房匠	福迫（名前不明）	099-264-2034	鹿児島市宇宿5丁目30-2	https://takumi-kagoshima.net/	鹿児島市	設立2005年7月 かごしま材にこだわった家づくり
27	鎌田建設株式会社（カマダの家）	鎌田 善政	0995-45-3000	霧島市国分敷根141番地	https://www.k-kamada.jp/	霧島市	資本金4,000万円 土木・建築・住宅建築
28	三洋ハウス株式会社	逆瀬川 勇	099-285-1000	鹿児島市南郡元町14-9	https://www.sanyo-house.co.jp/	鹿児島市	創業昭和53年10月 資本金2,000万円
29	株式会社田丸ハウス（タマルハウス）	不明	099-256-6056	鹿児島市田上2丁目33-11	https://tamaruhouse.com/	鹿児島市	設立平成13年6月 資本金1,000万円 テクノストラクチャー工法
30	株式会社創造企画（創造ホーム）	中村 成孝	099-220-5131	鹿児島市玉里団地1丁目8-17	https://sozokikaku.co.jp/	鹿児島市	創業昭和52年4月 資本金1,000万円
31	株式会社ウッドバンク（ウッドバンクデザイン）	渡邊 千晃	099-220-2225	鹿児島市小野3丁目4505-1	https://www.woodbankdesign.com/	鹿児島市	創業2011年6月 資本金800万円 社員10名 天然乾燥材
32	イオン・ホーム（いおん株式会社）	富田 柔文	099-295-0108	鹿児島市田上7丁目1-35	https://ion-home.jp/	鹿児島市	2x4工法 資本金500万円
33	旭住宅株式会社	寺迫 昭博	0996-25-0945	薩摩川内市平佐町1750	https://asahihouse.co.jp/	薩摩川内市	設立1980年9月 資本金2,000万円 自然素材の木の家
34	BinO鹿児島（MBC開発株式会社）	陶山 賢治	099-226-7777	鹿児島市樋之口町1-1 MBC開発ビル7F	https://www.bino-kagoshima.com/	鹿児島市	MBC開発が運営するBinOブランド スキップフロア住宅
35	株式会社技建	桑木野 芳明	0996-25-2208	薩摩川内市平佐町1564番地	http://www.ks-giken.co.jp/	薩摩川内市	創業昭和52年9月 資本金2,000万円
36	丸和建設株式会社	和田 康伸	099-269-7600	鹿児島市東開町13番7号	https://www.maruwa-net.co.jp/	鹿児島市	ID8と重複 創業1980年10月 資本金3,000万円
37	万代ホーム株式会社	濵田 龍太郎	099-202-0121	宮崎県都城市中原町39街区8号（本社）	https://www.mandai-home.com/	都城市（鹿児島展開）	創業昭和58年1月 資本金1,000万円 鹿児島MBC展示場あり
38	ニシヤマホーム	不明	不明	宮崎県（詳細不明）	https://nishiyamahome.jp/	宮崎（鹿児島展開）	宮崎拠点 注文住宅・リフォーム・分譲住宅
39	株式会社アリマコーポレーション	有馬 正治	099-253-6115	鹿児島市新栄町20-21	https://www.arima-cp.co.jp/	鹿児島市	資本金3,000万円 A+CRAFT HOMEブランド
40	有限会社イヤダニ工務店	袰谷 圭太	099-298-2883	鹿児島市郡山町1218-6	https://iyadani.jp/	鹿児島市	創業平成4年8月 自由設計住宅・オリジナル家具
