ID	企業名	代表者	電話番号	所在地	URL	エリア	備考
41	株式会社シンケン	迫 英德	099-286-0088	鹿児島市下荒田4-49-22	https://sinkenstyle.co.jp/	鹿児島市	設立1977年 福岡・熊本にも展開 完成棟数ランキング11位
42	ロイヤルホーム株式会社	久保 範和	0995-73-5602	霧島市国分中央3丁目36-14	https://www.royalhome.co.jp/	霧島市	資本金1億円 テクノストラクチャー工法 完成棟数ランキング4位
43	株式会社晃栄住宅	仙田 次雄	-	鹿児島市（複数店舗）	https://kouei.net/	鹿児島市	設立平成元年 資本金9,999万円 鹿児島店・北店・霧島店・川内店・姶良店
44	株式会社あいハウジング	川崎 廣明	099-278-1111	鹿児島市石谷町1868-12	https://ai-housing.jp/	鹿児島市	宅地造成から建売・注文住宅・アフターまで一貫体制 完成棟数ランキング12位
45	有限会社中央ハウス	金氣 昇造	-	鹿児島市清和2丁目24-14	https://chuou-h.co.jp/	鹿児島市	1987年創業 総合不動産業35年以上 完成棟数ランキング20位
46	株式会社シースタイル	今村 卓也	099-295-4888	鹿児島市吉野4丁目56番2号	https://c-style-kg.co.jp/	鹿児島市	資本金1,000万円 屋上庭園付住宅 完成棟数ランキング24位
47	株式会社粹家創房（イキヤソウボウ）	冨ヶ原 陽介	099-278-7003	鹿児島市春山町1636-9	https://www.ikiyasoobou.com/	鹿児島市	2003年創業 環境配慮・無垢材の家づくり 完成棟数ランキング26位
48	南日本ハウス株式会社	元山 豊二	099-285-0888	鹿児島市上荒田町38-8	https://www.373house.co.jp/	鹿児島市	設立1985年 資本金5,000万円 売上高30億円 完成棟数ランキング21位
49	株式会社正栄ハウス	-	099-295-3401	鹿児島市草牟田2丁目9-1	-	鹿児島市	従業員40名 完成棟数ランキング28位
50	ニューイングホーム株式会社	豊福 久二	0995-48-5388	霧島市国分中央6-1-41	https://newinghome.com/	霧島市	社員大工による家づくり 完成棟数ランキング31位
51	株式会社アートホーム	藤山 浩一	099-252-8100	鹿児島市上荒田町42-5	https://373kaitori.com/	鹿児島市	設立昭和63年 資本金3,000万円 売上高16億円 完成棟数ランキング24位
52	株式会社継南建設	永井 雅友	0995-42-3207	霧島市隼人町西光寺1339-1	https://keinan.co.jp/	霧島市	40年以上の歴史 注文住宅専門 完成棟数ランキング35位
53	株式会社松下孝建設	松下 拓也	099-267-7594	鹿児島市中山1丁目14-29	https://www.matsushitataka.co.jp/	鹿児島市	設立昭和58年 資本金1,000万円 従業員18名 完成棟数ランキング35位
54	株式会社タイセイ工務店	大田 輝美	0996-72-0014	阿久根市波留1074-1	http://taiseikoumuten.jp/	阿久根市	創業1966年 資本金2,000万円 従業員40名 年間新築30棟 完成棟数ランキング38位
55	株式会社ARK HOME	-	099-472-0052	志布志市志布志町志布志916-3	https://www.ark-home.com/	志布志市	設立2016年 高気密高断熱パッシブデザイン 完成棟数ランキング39位
56	株式会社エヌワン開発	宮上 辰也	099-255-0170	鹿児島市荒田2丁目26-1	http://www.n-wan.com/	鹿児島市	不動産業・住宅建設 完成棟数ランキング39位
57	株式会社グッドホームかごしま	-	099-220-4505	鹿児島市小野2丁目2-1	https://www.goooodhome-kagoshima.jp/	鹿児島市	漆喰と無垢の自然素材の家 完成棟数ランキング39位
58	株式会社県民住宅	下津 春美	099-268-5488	鹿児島市東開町13-30	https://kenmin-j.com/	鹿児島市	創業昭和45年 資本金2,000万円 省エネ・高気密高断熱住宅 完成棟数ランキング39位
59	秋岡ハウジング有限会社	馬込 久志	0994-44-8538	鹿屋市田崎町2181-2	http://www.akioka-housing.com	鹿屋市	30年以上の実績 ロイヤルハウス大隅鹿屋店 完成棟数ランキング43位
60	株式会社さくらハウジング	古川 和人	099-805-1121	鹿児島市草牟田2丁目2番1号	https://www.sakura-housing.net/	鹿児島市	設立平成15年 不動産販売・住宅建築 完成棟数ランキング43位
61	深田建設株式会社	-	-	奄美市（所在地詳細不明）	http://www.mother-home.jp/	奄美市	マザーホームブランド 奄美大島の住宅建築 完成棟数ランキング43位
62	有限会社前迫建設	前迫 智博	0120-76-1784	曽於郡大崎町永吉2811-3	https://maesako.net/	大崎町	創業1988年 新築・リフォーム 完成棟数ランキング48位
63	株式会社村岡工務店	-	099-478-3636	曽於郡大崎町野方4647	https://muraoka-home.com/	大崎町	創業50余年 大隅地域密着 完成棟数ランキング48位
64	有限会社ヤマケン	山元 建次	0994-43-3036	鹿屋市野里町926-2	-	鹿屋市	住宅・店舗の設計施工・リフォーム 完成棟数ランキング48位
65	株式会社ダイワ工務店	和田見 勝之	099-837-3616	鹿児島市武岡4丁目6-3	https://daiwakoumuten.com/	鹿児島市	創業2005年 海外デザイン住宅 新築・リフォーム・リノベーション
66	株式会社Sin工房	田口 慎一	099-268-1888	鹿児島市谷山中央8丁目8-7	https://www.sinkoubou.jp/	鹿児島市	設立平成15年 自然素材と無垢材の注文住宅
67	有限会社コアホーム	佐多 正人	099-260-0635	鹿児島市小松原2丁目33-22	https://www.corehome.jp/	鹿児島市	30年以上谷山中心 注文住宅・不動産
68	成尾建設株式会社	成尾 岳次朗	099-253-9191	鹿児島市上之園町15-6	https://naruo-kensetsu.com/	鹿児島市	設立1971年 資本金2,025万円 R+house加盟 引渡800戸超
69	株式会社三ツ矢ホーム	松田 博文	099-227-0800	鹿児島市草牟田2丁目10-5	https://mituyahome.co.jp/	鹿児島市	地域密着 新築分譲・注文住宅 完成棟数ランキング31位
70	日泉建設株式会社	泉 哲志	099-252-2109	鹿児島市南林寺町26-9	https://nissen-k.com/	鹿児島市	建売・注文住宅 収納にこだわった家づくり
71	PASSIVE STYLE株式会社	馬場 龍仁	099-800-4579	鹿児島市川上町2682-62	https://passive-style.com/	鹿児島市	設立2019年 鹿児島初のパッシブハウス 世界基準の高性能住宅
72	株式会社アイランドホーム	山口 俊彦	0995-67-7047	姶良市宮島町11-4	https://www.iland-rh.com/	姶良市	従業員18名 鹿児島市・霧島市・姶良市エリア 不動産売買・注文住宅
73	株式会社LinkPlan（リンクプラン）	-	099-294-4247	鹿児島市本名町1057-4	https://link-plan.jp/	鹿児島市	設立2014年 従業員4名 小さな工務店のじっくり丁寧な家づくり
74	株式会社ダイマツ建設（CRASI+くらしたす）	松元 朗	0994-45-3333	鹿屋市下高隈町4498	http://www.crasi-tas.jp/	鹿屋市	創業昭和59年 自然素材の注文住宅・リフォーム 大隅地域
75	株式会社住まいの前屋敷	-	099-253-9777	鹿児島市新栄町1番20号	https://www.maeyashiki.jp/	鹿児島市	製材所からスタート 木の温もりのある家づくり FPの家工法
76	丸三建設工業株式会社	-	0997-53-9920	奄美市名瀬塩浜町8-1	https://marusan-amami.com/	奄美市	従業員40名 奄美大島の住宅建築 完成棟数ランキング31位
77	有限会社新越建設	-	-	曽於郡大崎町井俣1349	https://4054.jp/	大崎町	実質3代の家づくり専門会社 780戸超施工 年間15棟 大隅地域
78	彩颯(iroha)建築工房	大戸 洋一	099-800-7736	鹿児島市吉野町2842-13	https://iroha-kk.com/	鹿児島市	パッシブデザイン 自然エネルギーと素材を活用した家づくり
79	ナガタハウス（有限会社永秀興業）	-	0995-48-5511	霧島市国分下井3007-5	-	霧島市	住宅建築
80	合同会社アリビオファム	東 佳美	0995-70-0435	姶良市蒲生町上久徳2411-4	https://www.alivio-fam.com/	姶良市	規格住宅・セミオーダー住宅・注文住宅 ジブンハウスパートナーズ
81	株式会社RE・CRAFT（CRAFT HOUSING）	平川 繁	099-260-3602	鹿児島市南栄4丁目9-12	https://craft-housing.net/	鹿児島市	木造軸組工法 坪単価50万～70万円
82	Limei home	-	0994-36-8266	鹿屋市札元2丁目3735-1	https://www.limeihome.com/	鹿屋市	自然素材の新築・リフォーム・店舗デザイン 大隅地域密着
83	株式会社相塲工務店	相塲 敏男	099-806-1500	鹿児島市中山町1598	https://aiba-koumuten.co.jp/	鹿児島市	2016年創業 対話型住宅 一級建築士在籍
84	株式会社田頭建設	田頭 謙一	0996-62-0643	出水市昭和町49-21	https://tagashira-k.com/	出水市	3代続く大工の会社 長期優良住宅・ZEH対応 出水・阿久根・長島エリア
85	有限会社桑原建築	桑原 賢伍	0996-62-6606	出水市上鯖渕1330-3	https://www.kuwahara-arc.com/	出水市	創業昭和51年 新築・リフォーム・敷地造成
86	大工の内野	内野 孝昭	099-296-6311	日置市吹上町湯之浦1433-1	https://kagoshima-daiku.com/	日置市	日置市・南さつま市エリア 新築・リフォーム
87	株式会社上野住建	上野 武志	0993-52-2773	南さつま市加世田東本町30-13	https://uenojyuuken.com/	南さつま市	無垢材を使用した住宅施工 二級建築士
88	マエダハウス株式会社	前田 浩幸	0993-83-2521	南九州市知覧町郡5172	https://www.maeda-house.com/	南九州市	知覧町で創業90年 注文住宅・リフォーム
89	株式会社古賀建設	古賀 孝志	0996-75-2950	阿久根市折口4220	https://kogakensetsu.jp/	阿久根市	設立昭和31年 従業員7名 北薩エリア密着
90	株式会社タケシタ（WizHouse）	竹下 英治	0996-32-4281	いちき串木野市ひばりが丘5782-3	https://wizhouse.co.jp/	いちき串木野市	創業1967年 新築・リフォーム
91	ルピナスホーム（幸建ハウス株式会社）	藤野 瑛司	099-248-8835	鹿児島市草牟田2丁目37-77	https://koukenhouse.com/	鹿児島市	設立平成25年 従業員10名 高性能住宅
92	木のんホーム（株式会社東木材）	宮崎 俊輔	099-264-2578	鹿児島市桜ヶ丘2丁目18-8	https://cononhome.com/	鹿児島市	1978年設立 製材業から住宅事業 枕崎支店あり 南薩エリア対応
93	株式会社堀之内建設	堀ノ内 茂樹	0995-78-2205	霧島市牧園町高千穂3864	https://horiken-calin.com/	霧島市	住宅事業部メゾン・ド・カラン リフォーム・注文住宅
94	株式会社まんぷくハウス	西ノ原 健介	099-285-2511	鹿児島市真砂町11-1	https://manpukuhouse.com/	鹿児島市	設立2024年6月 資本金300万円 注文住宅
95	株式会社BAUM（バウム）	-	0995-73-4850	姶良市（所在地詳細不明）	https://baum.style/	姶良市	不動産・住宅建築
96	津曲工業株式会社	津曲 矢	099-220-1212	鹿児島市伊敷1丁目3-20	https://www.tsumagari.jp/	鹿児島市	創業70年以上 テクノストラクチャー工法 ISO認証取得
97	ミスミハウス（株式会社Misumi）	-	099-246-1290	鹿児島市伊敷台2丁目17-17	https://www.misumi-house.com/	鹿児島市	創業1907年 資本金約17億円 テクノストラクチャー工法
98	有限会社泊野（ユウダイホーム）	-	-	鹿児島県内	-	鹿児島市	完成棟数ランキング14位 住宅建設
99	株式会社有村工務店	-	-	鹿児島県内	-	鹿児島市	完成棟数ランキング43位
100	株式会社絆	-	-	鹿児島県内	-	鹿児島市	イエタッタ鹿児島掲載
